model,t,p,r,f1
wc_w2v_kmeans,0.3,0.9035436303990376,0.7112530711158177,0.7422014749202491
wc_w2v_kmeans,0.35,0.8881194693451652,0.7465883546648362,0.7572900406732144
wc_w2v_kmeans,0.4,0.8659711897635349,0.7756290930305837,0.7629559242042393
wc_w2v_kmeans,0.45,0.8396790980593468,0.8092705706389832,0.7614704276943651
wc_w2v_kmeans,0.5,0.7962811501018103,0.8325194148875925,0.7411932171636798
wc_w2v_kmeans,0.3,0.8838720378338519,0.7128761380856361,0.7276070541655568
wc_w2v_kmeans,0.35,0.8691241410902836,0.7478624775434493,0.744036309259967
wc_w2v_kmeans,0.4,0.8547644249864549,0.7800539120493988,0.7541487069374391
wc_w2v_kmeans,0.45,0.824183993977788,0.8021420317382668,0.7441317303993908
wc_w2v_kmeans,0.5,0.7729507796847179,0.8207115513187793,0.7173556552549492
wc_w2v_kmeans,0.3,0.9035436303990376,0.7112530711158177,0.7422014749202491
wc_w2v_kmeans,0.35,0.8881194693451652,0.7465883546648362,0.7572900406732144
wc_w2v_kmeans,0.4,0.8659711897635349,0.7756290930305837,0.7629559242042393
wc_w2v_kmeans,0.45,0.8396790980593468,0.8092705706389832,0.7614704276943651
wc_w2v_kmeans,0.5,0.7962811501018103,0.8325194148875925,0.7411932171636798
